Table IV
The resulting deperturbed (diabatic) potential energy curves of the singlet A1Sigma+ 
state U_A(r) and triplet b3Pi(Omega=0,1,2) sub-states U_b0(r), U_b1(r), U_b2(r) 
as well as spin-orbit splitting A_01(r), A_12(r) and V_Ab0(r) functions.
Energies - in cm-1, internuclear distance in Angstroms.
=======================================================================================
     r       U_A       U_b0       U_b1        U_b2        A_01        A_12      V_Ab0
---------------------------------------------------------------------------------------
  Angstroms                                         cm-1
=======================================================================================
  3.426647  13407.775  10634.889  10745.538  10855.804    110.649    110.265    126.086
  3.428852  13393.782  10629.504  10740.042  10850.238    110.538    110.196    125.972
  3.431054  13379.860  10624.169  10734.596  10844.723    110.427    110.127    125.857
  3.433253  13366.008  10618.884  10729.200  10839.258    110.316    110.058    125.743
  3.435448  13352.225  10613.649  10723.854  10833.843    110.205    109.989    125.630
  3.437641  13338.511  10608.463  10718.557  10828.478    110.095    109.920    125.516
  3.439829  13324.865  10603.325  10713.310  10823.162    109.985    109.852    125.402
  3.442015  13311.287  10598.236  10708.111  10817.895    109.875    109.784    125.289
  3.444197  13297.776  10593.195  10702.961  10812.677    109.765    109.716    125.176
  3.446377  13284.332  10588.202  10697.858  10807.507    109.656    109.649    125.063
  3.448553  13270.955  10583.256  10692.804  10802.385    109.547    109.581    124.951
  3.450726  13257.644  10578.357  10687.796  10797.310    109.439    109.514    124.838
  3.452895  13244.399  10573.506  10682.836  10792.283    109.330    109.447    124.726
  3.455062  13231.219  10568.700  10677.923  10787.303    109.222    109.380    124.614
  3.457226  13218.104  10563.941  10673.055  10782.369    109.115    109.313    124.503
  3.459386  13205.053  10559.227  10668.234  10777.482    109.007    109.247    124.391
  3.461543  13192.066  10554.559  10663.459  10772.640    108.900    109.181    124.280
  3.463698  13179.143  10549.936  10658.730  10767.844    108.793    109.115    124.169
  3.465849  13166.282  10545.358  10654.045  10763.094    108.687    109.049    124.058
  3.467997  13153.485  10540.825  10649.405  10758.389    108.580    108.984    123.947
  3.470143  13140.750  10536.336  10644.810  10753.728    108.474    108.918    123.836
